stop_nr;hum;temp;time;time_start;time_end;sensor_ID;round_nr
61;62.1;25.0;2021-08-05 18:48:16.915192;2021-08-05 18:48:07.955218;2021-08-05 18:48:17.962440;13;3
62;62.1;25.0;2021-08-05 18:48:34.965539;2021-08-05 18:48:26.371417;2021-08-05 18:48:36.378339;14;3
63;62.1;25.0;2021-08-05 18:48:53.011789;2021-08-05 18:48:44.252416;2021-08-05 18:48:54.262350;15;3
64;62.1;25.0;2021-08-05 18:49:09.054621;2021-08-05 18:49:00.831021;2021-08-05 18:49:10.842397;0;4
65;62.2;25.0;2021-08-05 18:49:35.126073;2021-08-05 18:49:26.955547;2021-08-05 18:49:36.962501;1;4
66;62.2;25.0;2021-08-05 18:49:53.176076;2021-08-05 18:49:44.651829;2021-08-05 18:49:54.662407;2;4
67;61.7;25.0;2021-08-05 18:50:11.222011;2021-08-05 18:50:01.871517;2021-08-05 18:50:11.878384;3;4
68;61.7;24.9;2021-08-05 18:50:27.264748;2021-08-05 18:50:18.786759;2021-08-05 18:50:28.795684;4;4
69;61.8;25.0;2021-08-05 18:50:47.317726;2021-08-05 18:50:37.348687;2021-08-05 18:50:47.359243;5;4
70;62.1;25.0;2021-08-05 18:51:05.363780;2021-08-05 18:50:56.617955;2021-08-05 18:51:06.629018;6;4
71;62.1;25.0;2021-08-05 18:51:23.413295;2021-08-05 18:51:14.426443;2021-08-05 18:51:24.434407;7;4
72;62.1;25.0;2021-08-05 18:51:41.459082;2021-08-05 18:51:31.722339;2021-08-05 18:51:41.732940;8;4
73;62.1;25.0;2021-08-05 18:51:57.501552;2021-08-05 18:51:48.306051;2021-08-05 18:51:58.314381;9;4
74;62.1;25.0;2021-08-05 18:52:13.547850;2021-08-05 18:52:04.147156;2021-08-05 18:52:14.154361;10;4
75;62.1;25.0;2021-08-05 18:52:29.590222;2021-08-05 18:52:20.188791;2021-08-05 18:52:30.199378;11;4
76;62.1;25.0;2021-08-05 18:52:47.636026;2021-08-05 18:52:38.194617;2021-08-05 18:52:48.202381;12;4
77;62.1;25.0;2021-08-05 18:53:03.678267;2021-08-05 18:52:55.014968;2021-08-05 18:53:05.022377;13;4
78;62.1;25.0;2021-08-05 18:53:21.727819;2021-08-05 18:53:13.293323;2021-08-05 18:53:23.302562;14;4
79;62.0;25.0;2021-08-05 18:53:39.773554;2021-08-05 18:53:30.601456;2021-08-05 18:53:40.610355;15;4
80;62.1;25.0;2021-08-05 18:53:55.815794;2021-08-05 18:53:46.705271;2021-08-05 18:53:56.714340;0;5
81;62.2;25.0;2021-08-05 18:54:25.897047;2021-08-05 18:54:16.059299;2021-08-05 18:54:26.066437;1;5
82;62.2;24.9;2021-08-05 18:54:43.942713;2021-08-05 18:54:34.053908;2021-08-05 18:54:44.064503;2;5
